east_station_id,west_station_id,normalized_along_gulf_coordinate,xi_mismatch,east_alongshore_distance_m,west_alongshore_distance_m,east_distance_to_20m_isobath,west_distance_to_20m_isobath,east_raw_source_id,west_raw_source_id,east_median_top3_response,west_median_top3_response
east_0138,west_0143,0.400517814196,0.000489269108369,69000,71500,38.4440168324,83.2197052705,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0139,west_0144,0.403420117197,0.000594169696589,69500,72000,14.6771770242,67.3947389436,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0140,west_0145,0.406322420199,0.000699070284809,70000,72500,17.6196187724,69.5864606874,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0141,west_0146,0.4092247232,0.000803970873029,70500,73000,18.8736588714,63.4509003487,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0142,west_0147,0.412127026202,0.000908871461249,71000,73500,17.023885365,81.9751384288,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0143,west_0148,0.415029329203,0.00101377204947,71500,74000,14.6689476543,108.57920466,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0144,west_0149,0.417931632205,0.00111867263769,72000,74500,8.82169788702,110.649843813,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0145,west_0150,0.420833935206,0.00122357322591,72500,75000,8.54437539131,127.702206036,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0146,west_0151,0.423736238207,0.00132847381413,73000,75500,3.69365563777,165.419826838,gmrt_shore_blend,gmrt_shore_blend,nan,6.73983792113
east_0147,west_0153,0.426638541209,0.00136402801085,73500,76500,7.45389010441,71.4769586775,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0148,west_0154,0.42954084421,0.00125912742263,74000,77000,8.51070645406,83.8940295087,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0149,west_0155,0.432443147212,0.00115422683441,74500,77500,44.983627593,151.52901719,ribot_gmrt_shore_blend,gmrt_shore_blend,nan,3.15148075747
east_0150,west_0156,0.435345450213,0.00104932624619,75000,78000,9.12767559276,165.023378729,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0151,west_0157,0.438247753214,0.000944425657971,75500,78500,34.4023911699,141.819655457,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0152,west_0158,0.441150056216,0.000839525069751,76000,79000,10.145944725,135.737532529,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0153,west_0159,0.444052359217,0.000734624481531,76500,79500,11.510089346,117.985858552,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0154,west_0160,0.446954662219,0.00062972389331,77000,80000,7.80638723036,107.204991172,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0155,west_0161,0.44985696522,0.00052482330509,77500,80500,16.0746395321,108.166080203,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0156,west_0162,0.452759268222,0.00041992271687,78000,81000,0.456675075487,107.880863641,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0157,west_0163,0.455661571223,0.00031502212865,78500,81500,11.4916949893,171.782131503,gmrt_shore_blend,gmrt_shore_blend,nan,3.71416763452
east_0158,west_0164,0.458563874224,0.00021012154043,79000,82000,9.26209860295,239.249196593,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0159,west_0165,0.461466177226,0.00010522095221,79500,82500,4.62706750458,210.615804169,gmrt_shore_blend,gmrt_shore_blend,nan,6.11913434055
east_0160,west_0166,0.464368480227,3.20363990003e-07,80000,83000,4.29148944029,218.351608648,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0161,west_0167,0.467270783229,0.00010458022423,80500,83500,7.40994691679,352.221897928,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0162,west_0168,0.47017308623,0.00020948081245,81000,84000,11.4033292124,619.979586578,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0163,west_0169,0.473075389232,0.00031438140067,81500,84500,20.9935443371,756.264587757,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0164,west_0170,0.475977692233,0.00041928198889,82000,85000,15.2142798885,761.064898054,copernicus_a2_land_core,gmrt_shore_blend,22.1504669592,nan
east_0165,west_0171,0.478879995234,0.00052418257711,82500,85500,15.5319002617,404.887070773,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0166,west_0172,0.481782298236,0.00062908316533,83000,86000,30.9922995187,201.928789362,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0167,west_0173,0.484684601237,0.00073398375355,83500,86500,74.3022237839,177.782210257,gmrt_shore_blend,gmrt_shore_blend,17.10610419,nan
east_0168,west_0174,0.487586904239,0.000838884341771,84000,87000,31.6504236016,354.633153562,gmrt_shore_blend,gmrt_shore_blend,nan,3.85611214084
east_0169,west_0175,0.49048920724,0.000943784929991,84500,87500,39.8540695054,177.973930186,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0170,west_0176,0.493391510241,0.00104868551821,85000,88000,145.940700215,122.848412522,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0171,west_0177,0.496293813243,0.00115358610643,85500,88500,39.8594796543,117.403093262,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0172,west_0178,0.499196116244,0.00125848669465,86000,89000,113.247762318,123.06987249,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0173,west_0179,0.502098419246,0.00136338728287,86500,89500,22.577131787,158.584967366,gmrt_shore_blend,gmrt_shore_blend,nan,nan
